Date,FX_R,IsPrem_R,BcPrem_R,FiPrem_R,TcPrem_R,SiPrem_R,EcPrem_R,OVX_C,OVX_PC,OVX_NC
2010/8/16,-0.025048532,-0.24893921,-0.032788656,0.364282145,3.490991392,0.115418825,0.536098074,0.790001,0.790001,0
2010/8/17,0.015659255,-0.602705893,2.078634637,-0.599263864,0.872529488,-0.699989425,-0.075188159,-1.849999,0,-1.849999
2010/8/18,-0.134648505,0.286605698,2.002136301,-0.771012442,-0.162147478,-0.206823744,1.376631753,0.340001,0.340001,0
2010/8/19,0.119152138,-0.023101825,-0.505166663,-1.950159448,-0.619009744,0.88515444,1.219226613,0.279998,0.279998,0
2010/8/20,0.072032571,-0.586443626,2.518854129,0.537984337,0.142923871,-0.579732094,-0.71230144,-0.45,0,-0.45
2010/8/23,-0.031295966,0.132183024,2.044853017,2.156223794,0.084740103,-0.099014752,-0.211728664,-0.169999,0,-0.169999
2010/8/24,0.225401496,-0.059623355,-0.840973528,-0.158609857,0.927647618,-0.785377903,0.041192578,1.279999,1.279999,0
2010/8/25,0.140559113,-2.232845792,-4.23991887,-3.465416968,-4.097023977,-2.473204794,-3.434362432,-1.599998,0,-1.599998
2010/8/26,-0.053025577,-0.228830408,-0.355507832,-1.525192118,-1.22379195,-0.018584256,-1.506286851,-0.16,0,-0.16
2010/8/27,-0.034328871,1.436853672,2.652724711,0.90799162,0.287322054,-0.185495642,1.507712728,-0.950001,0,-0.950001
2010/8/30,-0.021853147,0.170436738,0.196265627,0.763639311,1.945339448,-0.102422325,-0.99416148,0.860001,0.860001,0
2010/8/31,0.087431694,-0.326917549,-1.942907872,-0.673011017,0.345738069,-1.49684434,-1.09997685,1.519996,1.519996,0
2010/9/1,-0.118553646,0.254266043,4.076457667,0.676697669,-0.321302623,0.363625452,1.23698996,-1.259998,0,-1.259998
2010/9/2,-0.071841324,0.299652855,-0.478517422,0.400029731,-0.392370092,1.166305398,0.94522489,-0.59,0,-0.59
2010/9/3,-0.240685171,0.528336984,-1.533843971,0.684251308,1.904280318,2.491163791,1.376792479,-0.549999,0,-0.549999
2010/9/7,0.28199906,4.885530845,1.261917433,0.178054335,3.741571876,0.321706251,0.124434202,1.169998,1.169998,0
2010/9/8,-0.203093267,-1.407757899,-0.787709187,-0.613043132,-2.009720321,-1.143690841,0.523213374,-0.459999,0,-0.459999
2010/9/9,-0.203506575,-0.269871491,-1.288359884,-0.574043365,-0.229150881,-0.01842882,-0.588211938,-1.010001,0,-1.010001
2010/9/10,-0.235294118,0.385094289,-0.147477515,1.110144219,0.926318787,0.777054645,0.476438786,-0.439998,0,-0.439998
2010/9/13,-0.242138365,1.133871282,2.79548544,3.304312134,3.203351366,1.818973786,1.957716918,0.349998,0.349998,0
2010/9/14,-0.10402547,0.23078505,0.764202889,0.2408379,-0.642653055,0.623379518,0.224268834,0.350001,0.350001,0
2010/9/15,0.205112023,-0.022244877,1.624211191,0.687258233,0.485416286,0.141291806,0.315243817,-0.100001,0,-0.100001
2010/9/16,-0.047236656,-0.422895757,-0.440291241,-0.899261153,-0.950381478,-0.973148303,-0.779690594,-0.279998,0,-0.279998
2010/9/17,-0.20478891,-0.048582093,0.673349582,0.829832712,2.12766808,0.812184371,0.454494862,-0.610001,0,-0.610001
2010/9/20,-0.031570639,1.272512996,0.612033955,0.097568478,1.521285111,0.287342022,0.31513406,0.77,0.77,0
2010/9/21,-0.189483657,-0.229536437,-1.221908525,0.232923907,-0.122434728,0.445476373,0.325532266,0.960001,0.960001,0
2010/9/23,-0.085429521,-0.264496422,-1.50592132,0.570875441,3.230877663,-1.626782993,0.710768883,-1.410001,0,-1.410001
2010/9/24,-0.617518526,-0.60372165,0.397205018,-0.076796773,-0.788261514,-0.822405689,-0.512153809,-1.520001,0,-1.520001
2010/9/27,-0.057355893,0.344573663,0.296259877,0.349358007,0.038305313,0.63044966,-0.32212369,0.990002,0.990002,0
2010/9/28,0.175354695,-0.309352653,-0.589031134,-0.831393253,-0.478378832,0.156420408,0.700206046,-0.050001,0,-0.050001
2010/9/29,-0.620623806,0.126204102,1.029396365,0.315935173,-0.552740968,0.920437931,1.090435871,-0.020001,0,-0.020001
2010/9/30,-0.080064051,-0.126789253,0.036591916,-0.653890432,-0.488080351,0.300834916,0.095782026,-0.759998,0,-0.759998
2010/10/1,0.320512821,-0.153090272,0.888160726,0.292804575,-0.616673686,0.220469146,-0.06048131,0.419998,0.419998,0
2010/10/4,-0.182108626,0.135236349,1.248788856,1.266429392,2.492554033,-1.616899794,-1.27724151,0.910002,0.910002,0
2010/10/5,-0.771372788,-0.36257558,0.906671411,-0.593698978,-1.377781911,-1.092631784,-0.739614831,0.509998,0.509998,0
2010/10/6,-0.40965099,1.046722093,3.546115205,1.099702891,0.764017426,0.606462568,-0.277998022,-0.949999,0,-0.949999
2010/10/7,-0.152226721,0.021383846,-1.216079956,0.566327465,0.225644837,-0.315059468,-0.027470301,1.360001,1.360001,0
2010/10/8,0.087582717,-0.940759691,-0.559041671,-1.097138514,-1.957448277,0.035976268,-0.484476601,-0.07,0,-0.07
2010/10/11,0.025927726,-1.273362367,-2.198266972,-1.146115842,-2.318548154,-0.505404293,-0.739363192,1.039997,1.039997,0
2010/10/12,0.427696595,-1.165587153,-0.419756175,-1.186725927,-0.25451389,-1.14719756,-0.58288654,0,0,0
2010/10/13,-0.442006775,0.120857408,0.598808418,0.061972135,1.85896473,0.215473737,-0.237308649,-0.069999,0,-0.069999
2010/10/14,-0.567113876,0.228131277,-0.202588815,1.106364186,0.369079026,0.791568195,0.251802348,-0.73,0,-0.73
2010/10/15,-0.058664407,0.057747775,-0.410653071,0.012772769,-2.400793076,-0.985450533,-1.249122048,0.959999,0.959999,0
2010/10/18,0.40763085,-1.120899987,-2.617906391,-2.005684657,-2.088161891,-2.10936776,-0.993994832,-1.219997,0,-1.219997
2010/10/19,0.493666775,-0.311853351,0.62122246,-0.143732053,-2.342717695,0.472873772,-0.884969785,1.790001,1.790001,0
2010/10/20,-0.394286084,-0.041084211,0.303061349,-0.091213331,1.281301145,1.323629918,2.526941848,-1.600003,0,-1.600003
2010/10/21,-0.184944841,-0.231307628,0.185082625,-0.322463801,2.037288821,-0.432619048,-0.625042559,1.260003,1.260003,0
2010/10/22,0.260052661,-0.01391897,0.089921817,0.160695117,-0.776881852,0.715882754,0.112919923,-1.200001,0,-1.200001
2010/10/25,-1.322828519,0.61270943,0.850331518,1.493723044,0.230607911,1.178577128,1.488911348,0.599998,0.599998,0
2010/10/26,0.729423361,0.329063687,0.223509041,0.303015767,-1.021140875,0.348695699,-0.248266868,-1.16,0,-1.16
2010/10/27,0.303356493,-0.841627808,-0.048700856,-0.928120416,0.134301396,-0.899426066,-1.271259867,0.110001,0.110001,0
2010/10/28,-0.341463415,0.403222586,0.023093575,0.568954905,-0.350197631,1.676921542,1.630471792,-0.440001,0,-0.440001
2010/10/29,-0.130527003,-0.339229509,-0.388971402,-0.691981561,-0.278933367,-0.394927057,0.203449133,0.56,0.56,0
2010/11/1,-0.251592877,0.538901845,0.860048341,1.398669037,1.503533825,0.872528435,0.792115105,0.710003,0.710003,0
2010/11/2,-0.226022013,-0.176345575,1.672973259,0.253550088,-1.072396722,-0.941866339,-1.529390805,0.5,0.5,0
2010/11/3,-0.15758889,0.302083039,-0.830156041,-0.538395607,-0.056618782,-0.045527472,-1.576226936,-1.440003,0,-1.440003
2010/11/4,-0.660945053,-0.059003143,2.053509891,0.546727583,1.807850962,0.805942103,0.361581955,-1.109998,0,-1.109998
2010/11/5,-0.066203244,1.274226926,4.267419642,1.375423461,2.277705218,0.370333087,0.595795903,-0.92,0,-0.92
2010/11/8,0.132494203,-0.289701564,2.050890162,0.254724916,1.745676834,-1.86160606,-1.234706888,0.959999,0.959999,0
2010/11/9,-0.291101555,1.118926447,-1.236485261,-0.51572574,0.09728915,0.797869591,0.101640947,0.11,0.11,0
2010/11/10,0.092893637,1.609235683,-0.665820034,-0.576965392,-1.222405448,0.075914097,0.717401647,-0.68,0,-0.68
2010/11/11,-0.092807425,-0.899324355,0.764081255,0.477246313,0.635654942,-0.194006926,0.488735717,0.02,0.02,0
